===== HOURLY SIMULATION RESULTS =====

  load  solar_available  solar_used  battery_charge  battery_discharge  curtailed_solar      grid  soc
 5.393         0.000000    0.000000               0               1.35                0  4.043000 20.0
 4.623         0.001045    0.001045               0               0.00                0  4.621955 20.0
 4.189         0.014507    0.014507               0               0.00                0  4.174493 20.0
 4.234         0.040284    0.040284               0               0.00                0  4.193716 20.0
 4.560         0.063772    0.063772               0               0.00                0  4.496228 20.0
 4.633         0.087437    0.087437               0               0.00                0  4.545563 20.0
 4.291         0.079812    0.079812               0               0.00                0  4.211188 20.0
 5.787         0.070986    0.070986               0               0.00                0  5.716014 20.0
11.787         0.098215    0.098215               0               0.00                0 11.688785 20.0
20.835         0.073181    0.073181               0               0.00                0 20.761819 20.0
22.353         0.038461    0.038461               0               0.00                0 22.314539 20.0
19.076         0.007690    0.007690               0               0.00                0 19.068310 20.0
16.117         0.000000    0.000000               0               0.00                0 16.117000 20.0
15.426         0.000000    0.000000               0               0.00                0 15.426000 20.0
15.359         0.000000    0.000000               0               0.00                0 15.359000 20.0
 9.234         0.000000    0.000000               0               0.00                0  9.234000 20.0
 9.464         0.000000    0.000000               0               0.00                0  9.464000 20.0
12.502         0.000000    0.000000               0               0.00                0 12.502000 20.0
11.253         0.000000    0.000000               0               0.00                0 11.253000 20.0
14.575         0.000000    0.000000               0               0.00                0 14.575000 20.0
14.611         0.000000    0.000000               0               0.00                0 14.611000 20.0
13.406         0.000000    0.000000               0               0.00                0 13.406000 20.0
11.169         0.000000    0.000000               0               0.00                0 11.169000 20.0
 6.901         0.000000    0.000000               0               0.00                0  6.901000 20.0
 4.425         0.000000    0.000000               0               0.00                0  4.425000 20.0
 3.968         0.000791    0.000791               0               0.00                0  3.967209 20.0
 3.459         0.010994    0.010994               0               0.00                0  3.448006 20.0
 2.488         0.025337    0.025337               0               0.00                0  2.462663 20.0
 2.165         0.038094    0.038094               0               0.00                0  2.126906 20.0
 2.962         0.048233    0.048233               0               0.00                0  2.913767 20.0
 3.871         0.033601    0.033601               0               0.00                0  3.837399 20.0
 6.934         0.045619    0.045619               0               0.00                0  6.888381 20.0
11.676         0.044077    0.044077               0               0.00                0 11.631923 20.0
13.188         0.033523    0.033523               0               0.00                0 13.154477 20.0
15.043         0.020269    0.020269               0               0.00                0 15.022731 20.0
16.667         0.004061    0.004061               0               0.00                0 16.662939 20.0
12.757         0.000000    0.000000               0               0.00                0 12.757000 20.0
11.695         0.000000    0.000000               0               0.00                0 11.695000 20.0
13.649         0.000000    0.000000               0               0.00                0 13.649000 20.0
 9.026         0.000000    0.000000               0               0.00                0  9.026000 20.0
 9.121         0.000000    0.000000               0               0.00                0  9.121000 20.0
 8.395         0.000000    0.000000               0               0.00                0  8.395000 20.0
12.355         0.000000    0.000000               0               0.00                0 12.355000 20.0
16.862         0.000000    0.000000               0               0.00                0 16.862000 20.0
16.357         0.000000    0.000000               0               0.00                0 16.357000 20.0
14.134         0.000000    0.000000               0               0.00                0 14.134000 20.0
12.057         0.000000    0.000000               0               0.00                0 12.057000 20.0
 9.183         0.000000    0.000000               0               0.00                0  9.183000 20.0
 3.804         0.000000    0.000000               0               0.00                0  3.804000 20.0
 2.151         0.000791    0.000791               0               0.00                0  2.150209 20.0
 1.908         0.013228    0.013228               0               0.00                0  1.894772 20.0
 1.793         0.029795    0.029795               0               0.00                0  1.763205 20.0
 1.809         0.051646    0.051646               0               0.00                0  1.757354 20.0
 2.165         0.072822    0.072822               0               0.00                0  2.092178 20.0
 2.688         0.055953    0.055953               0               0.00                0  2.632047 20.0
 3.110         0.078170    0.078170               0               0.00                0  3.031830 20.0
 4.833         0.070554    0.070554               0               0.00                0  4.762446 20.0
 7.775         0.054078    0.054078               0               0.00                0  7.720922 20.0
 9.828         0.029160    0.029160               0               0.00                0  9.798840 20.0
15.696         0.006428    0.006428               0               0.00                0 15.689572 20.0
15.964         0.000000    0.000000               0               0.00                0 15.964000 20.0
14.024         0.000000    0.000000               0               0.00                0 14.024000 20.0
13.902         0.000000    0.000000               0               0.00                0 13.902000 20.0
 7.143         0.000000    0.000000               0               0.00                0  7.143000 20.0
 6.778         0.000000    0.000000               0               0.00                0  6.778000 20.0
 5.900         0.000000    0.000000               0               0.00                0  5.900000 20.0
 9.541         0.000000    0.000000               0               0.00                0  9.541000 20.0
 9.743         0.000000    0.000000               0               0.00                0  9.743000 20.0
10.331         0.000000    0.000000               0               0.00                0 10.331000 20.0
 8.916         0.000000    0.000000               0               0.00                0  8.916000 20.0
 9.476         0.000000    0.000000               0               0.00                0  9.476000 20.0
 7.361         0.000000    0.000000               0               0.00                0  7.361000 20.0
 6.534         0.000000    0.000000               0               0.00                0  6.534000 20.0
 4.255         0.000778    0.000778               0               0.00                0  4.254222 20.0
 4.461         0.012908    0.012908               0               0.00                0  4.448092 20.0
 4.149         0.030875    0.030875               0               0.00                0  4.118125 20.0
 3.849         0.047110    0.047110               0               0.00                0  3.801890 20.0
 3.904         0.060316    0.060316               0               0.00                0  3.843684 20.0
 2.877         0.064757    0.064757               0               0.00                0  2.812243 20.0
 3.558         0.081246    0.081246               0               0.00                0  3.476754 20.0
 9.171         0.080382    0.080382               0               0.00                0  9.090618 20.0
13.774         0.064359    0.064359               0               0.00                0 13.709641 20.0
 8.763         0.034806    0.034806               0               0.00                0  8.728194 20.0
 6.300         0.007754    0.007754               0               0.00                0  6.292246 20.0
 9.139         0.000000    0.000000               0               0.00                0  9.139000 20.0
 8.823         0.000000    0.000000               0               0.00                0  8.823000 20.0
10.986         0.000000    0.000000               0               0.00                0 10.986000 20.0
 7.498         0.000000    0.000000               0               0.00                0  7.498000 20.0
 5.419         0.000000    0.000000               0               0.00                0  5.419000 20.0
 6.630         0.000000    0.000000               0               0.00                0  6.630000 20.0
