timestamp,shortwave_radiation,temp_2m_c,wind_10m_ms,ghi_wm2
2025-12-27 00:00:00,0.0,8.47,0.59,0.0
2025-12-27 01:00:00,2.42,8.13,0.52,2.42
2025-12-27 02:00:00,33.58,8.89,0.36,33.58
2025-12-27 03:00:00,93.25,10.91,0.65,93.25
2025-12-27 04:00:00,147.62,14.18,1.02,147.62
2025-12-27 05:00:00,202.4,17.78,1.19,202.4
2025-12-27 06:00:00,184.75,19.22,1.21,184.75
2025-12-27 07:00:00,164.32,20.05,1.29,164.32
2025-12-27 08:00:00,227.35,20.35,1.4,227.35
2025-12-27 09:00:00,169.4,20.04,1.38,169.4
2025-12-27 10:00:00,89.03,19.07,0.95,89.03
2025-12-27 11:00:00,17.8,17.23,0.76,17.8
2025-12-27 12:00:00,0.0,16.13,0.65,0.0
2025-12-27 13:00:00,0.0,15.4,0.65,0.0
2025-12-27 14:00:00,0.0,14.69,0.77,0.0
2025-12-27 15:00:00,0.0,13.52,1.0,0.0
2025-12-27 16:00:00,0.0,12.64,1.31,0.0
2025-12-27 17:00:00,0.0,11.78,1.41,0.0
2025-12-27 18:00:00,0.0,11.16,1.33,0.0
2025-12-27 19:00:00,0.0,10.67,1.22,0.0
2025-12-27 20:00:00,0.0,9.97,1.37,0.0
2025-12-27 21:00:00,0.0,8.9,1.75,0.0
2025-12-27 22:00:00,0.0,7.9,1.98,0.0
2025-12-27 23:00:00,0.0,7.38,1.94,0.0
2025-12-28 00:00:00,0.0,7.2,1.7,0.0
2025-12-28 01:00:00,1.83,7.05,1.44,1.83
2025-12-28 02:00:00,25.45,8.2,1.23,25.45
2025-12-28 03:00:00,58.65,10.66,1.63,58.65
2025-12-28 04:00:00,88.18,13.87,1.42,88.18
2025-12-28 05:00:00,111.65,17.56,1.25,111.65
2025-12-28 06:00:00,77.78,19.16,1.22,77.78
2025-12-28 07:00:00,105.6,20.07,1.15,105.6
2025-12-28 08:00:00,102.03,20.54,1.05,102.03
2025-12-28 09:00:00,77.6,20.43,1.11,77.6
2025-12-28 10:00:00,46.92,19.25,1.01,46.92
2025-12-28 11:00:00,9.4,17.0,1.02,9.4
2025-12-28 12:00:00,0.0,15.75,1.01,0.0
2025-12-28 13:00:00,0.0,14.74,1.2,0.0
2025-12-28 14:00:00,0.0,14.0,1.22,0.0
2025-12-28 15:00:00,0.0,14.33,0.82,0.0
2025-12-28 16:00:00,0.0,14.1,0.61,0.0
2025-12-28 17:00:00,0.0,12.93,0.81,0.0
2025-12-28 18:00:00,0.0,11.61,1.06,0.0
2025-12-28 19:00:00,0.0,10.63,1.34,0.0
2025-12-28 20:00:00,0.0,9.29,1.78,0.0
2025-12-28 21:00:00,0.0,8.18,2.04,0.0
2025-12-28 22:00:00,0.0,7.56,2.24,0.0
2025-12-28 23:00:00,0.0,6.49,2.66,0.0
2025-12-29 00:00:00,0.0,6.03,2.72,0.0
2025-12-29 01:00:00,1.83,5.65,2.75,1.83
2025-12-29 02:00:00,30.62,8.12,3.25,30.62
2025-12-29 03:00:00,68.97,10.77,3.17,68.97
2025-12-29 04:00:00,119.55,14.41,3.02,119.55
2025-12-29 05:00:00,168.57,17.93,3.9,168.57
2025-12-29 06:00:00,129.52,19.84,3.99,129.52
2025-12-29 07:00:00,180.95,21.14,4.02,180.95
2025-12-29 08:00:00,163.32,21.79,4.02,163.32
2025-12-29 09:00:00,125.18,21.54,4.01,125.18
2025-12-29 10:00:00,67.5,19.84,2.75,67.5
2025-12-29 11:00:00,14.88,15.65,2.5,14.88
2025-12-29 12:00:00,0.0,14.01,2.48,0.0
2025-12-29 13:00:00,0.0,13.31,2.35,0.0
2025-12-29 14:00:00,0.0,12.91,2.05,0.0
2025-12-29 15:00:00,0.0,12.72,1.61,0.0
2025-12-29 16:00:00,0.0,12.25,1.35,0.0
2025-12-29 17:00:00,0.0,11.4,1.39,0.0
2025-12-29 18:00:00,0.0,10.39,1.61,0.0
2025-12-29 19:00:00,0.0,9.58,1.72,0.0
2025-12-29 20:00:00,0.0,8.9,1.75,0.0
2025-12-29 21:00:00,0.0,8.03,1.93,0.0
2025-12-29 22:00:00,0.0,6.91,2.33,0.0
2025-12-29 23:00:00,0.0,6.15,2.63,0.0
2025-12-30 00:00:00,0.0,5.66,2.77,0.0
2025-12-30 01:00:00,1.8,5.41,2.8,1.8
2025-12-30 02:00:00,29.88,8.09,3.06,29.88
2025-12-30 03:00:00,71.47,11.01,3.34,71.47
2025-12-30 04:00:00,109.05,14.5,3.17,109.05
2025-12-30 05:00:00,139.62,18.56,4.4,139.62
2025-12-30 06:00:00,149.9,20.61,4.59,149.9
2025-12-30 07:00:00,188.07,21.87,4.55,188.07
2025-12-30 08:00:00,186.07,22.44,4.51,186.07
2025-12-30 09:00:00,148.98,22.27,4.42,148.98
2025-12-30 10:00:00,80.57,20.67,3.11,80.57
2025-12-30 11:00:00,17.95,16.11,2.94,17.95
2025-12-30 12:00:00,0.0,13.82,3.11,0.0
2025-12-30 13:00:00,0.0,13.09,2.91,0.0
2025-12-30 14:00:00,0.0,12.74,2.52,0.0
2025-12-30 15:00:00,0.0,12.56,2.11,0.0
2025-12-30 16:00:00,0.0,12.34,1.7,0.0
2025-12-30 17:00:00,0.0,12.0,1.36,0.0
2025-12-30 18:00:00,0.0,11.52,1.07,0.0
2025-12-30 19:00:00,0.0,11.17,0.77,0.0
2025-12-30 20:00:00,0.0,10.33,0.71,0.0
2025-12-30 21:00:00,0.0,9.32,0.99,0.0
2025-12-30 22:00:00,0.0,8.16,1.51,0.0
2025-12-30 23:00:00,0.0,7.03,1.98,0.0
2025-12-31 00:00:00,0.0,6.12,2.21,0.0
2025-12-31 01:00:00,2.7,5.52,2.31,2.7
2025-12-31 02:00:00,45.58,7.68,2.54,45.58
2025-12-31 03:00:00,116.07,10.21,2.86,116.07
2025-12-31 04:00:00,185.25,13.65,2.68,185.25
2025-12-31 05:00:00,236.1,17.21,2.73,236.1
2025-12-31 06:00:00,221.18,19.37,2.67,221.18
2025-12-31 07:00:00,276.58,20.41,2.59,276.58
2025-12-31 08:00:00,263.02,20.84,2.49,263.02
2025-12-31 09:00:00,184.8,20.45,2.23,184.8
2025-12-31 10:00:00,99.82,19.02,1.46,99.82
2025-12-31 11:00:00,23.3,16.37,1.44,23.3
2025-12-31 12:00:00,0.0,14.5,1.8,0.0
2025-12-31 13:00:00,0.0,13.19,2.1,0.0
2025-12-31 14:00:00,0.0,12.09,2.25,0.0
2025-12-31 15:00:00,0.0,11.1,2.34,0.0
2025-12-31 16:00:00,0.0,10.38,2.31,0.0
2025-12-31 17:00:00,0.0,9.78,2.19,0.0
2025-12-31 18:00:00,0.0,9.21,2.04,0.0
2025-12-31 19:00:00,0.0,8.51,2.05,0.0
2025-12-31 20:00:00,0.0,7.78,2.12,0.0
2025-12-31 21:00:00,0.0,7.22,2.17,0.0
2025-12-31 22:00:00,0.0,6.85,2.2,0.0
2025-12-31 23:00:00,0.0,6.68,2.17,0.0
