solar_kw,battery_kwh,total_load_kwh,grid_energy_kwh,grid_dependency_percent,grid_cost,score
10,20,261.78,238.78,91.2139964855986,1910.24,818.8243978913591
10,15,261.78,241.15,92.11933684773476,1929.2,826.9516021086409
8,20,261.78,241.48,92.24539689815876,1931.84,828.0832381388952
10,10,261.78,243.53,93.0284972113989,1948.24,835.1130983268393
8,15,261.78,243.85,93.15073726029492,1950.8,836.210442356177
5,20,261.78,245.53,93.79249751699902,1964.24,841.9714985101995
10,5,261.78,245.9,93.93383757353504,1967.2,843.2403025441212
8,10,261.78,246.23,94.05989762395906,1969.84,844.3719385743755
5,15,261.78,247.9,94.69783787913516,1983.2,850.0987027274812
3,20,261.78,248.23,94.82389792955918,1985.84,851.2303387577355
8,5,261.78,248.6,94.96523798609519,1988.8,852.499142791657
2,20,261.78,249.58,95.33959813583927,1996.64,855.8597588815036
5,10,261.78,250.28,95.6069982427993,2002.24,858.2601989456797
3,15,261.78,250.6,95.72923829169532,2004.8,859.3575429750173
2,15,261.78,251.95,96.24493849797541,2015.6,863.9869630987853
5,5,261.78,252.65,96.51233860493545,2021.2,866.3874031629613
3,10,261.78,252.98,96.63839865535947,2023.84,867.5190391932157
2,10,261.78,254.33,97.15409886163955,2034.64,872.1484593169838
3,5,261.78,255.35,97.54373901749561,2042.8,875.6462434104974
2,5,261.78,256.7,98.05943922377568,2053.6,880.2756635342655
